# This file includes the efficiency of the whole farm by wind direction.
# Wind direction angle	Farm efficiency
0.000000	55.684353
1.000000	55.684353
2.000000	55.684353
3.000000	59.580668
4.000000	52.428587
5.000000	58.395122
6.000000	68.766836
7.000000	85.120314
8.000000	90.004806
9.000000	92.886389
10.000000	93.626804
11.000000	94.676359
12.000000	92.674610
13.000000	93.027765
14.000000	93.031010
15.000000	93.001134
16.000000	90.310333
17.000000	88.848792
18.000000	89.962219
19.000000	90.094188
20.000000	89.736436
21.000000	89.588284
22.000000	91.669777
23.000000	93.003827
24.000000	89.138099
25.000000	84.073331
26.000000	82.936730
27.000000	83.005881
28.000000	83.019202
29.000000	82.973290
30.000000	82.787237
31.000000	87.011024
32.000000	91.357372
33.000000	91.815301
34.000000	92.247123
35.000000	92.306764
36.000000	92.392433
37.000000	91.828364
38.000000	92.058907
39.000000	94.540692
40.000000	95.740789
41.000000	93.539139
42.000000	90.233928
43.000000	85.165869
44.000000	78.776742
45.000000	73.468575
46.000000	69.872006
47.000000	69.874793
48.000000	69.874793
49.000000	69.874793
50.000000	69.874512
51.000000	72.704543
52.000000	77.427987
53.000000	80.686204
54.000000	89.779959
55.000000	93.301380
56.000000	95.875506
57.000000	95.172997
58.000000	92.755607
59.000000	92.285422
60.000000	92.741944
61.000000	92.827833
62.000000	92.729501
63.000000	92.244711
64.000000	92.076774
65.000000	88.156588
66.000000	83.684534
67.000000	83.698889
68.000000	83.726190
69.000000	83.724675
70.000000	83.691050
71.000000	84.351630
72.000000	89.131467
73.000000	93.354577
74.000000	92.811381
75.000000	90.609148
76.000000	90.677207
77.000000	91.053698
78.000000	90.963731
79.000000	90.084550
80.000000	91.032514
81.000000	93.795778
82.000000	94.305437
83.000000	94.193019
84.000000	93.964811
85.000000	95.641743
86.000000	96.273960
87.000000	94.054384
88.000000	91.061687
89.000000	86.233204
90.000000	80.978582
91.000000	75.070843
92.000000	68.434886
93.000000	61.365661
94.000000	57.348676
95.000000	57.348676
96.000000	57.348676
97.000000	57.348676
98.000000	57.348676
99.000000	60.547035
100.000000	57.427308
101.000000	74.301423
102.000000	80.296797
103.000000	85.581229
104.000000	90.421804
105.000000	93.753982
106.000000	96.006706
107.000000	94.819187
108.000000	94.413160
109.000000	94.503577
110.000000	93.989518
111.000000	91.533281
112.000000	90.390560
113.000000	91.452742
114.000000	91.593104
115.000000	91.341759
116.000000	91.091237
117.000000	91.801041
118.000000	89.051533
119.000000	84.879037
120.000000	85.054110
121.000000	85.123765
122.000000	85.108553
123.000000	84.942048
124.000000	86.056175
125.000000	89.678384
126.000000	92.161973
127.000000	93.547260
128.000000	93.303049
129.000000	93.222938
130.000000	93.037815
131.000000	94.168117
132.000000	92.158338
133.000000	38.336743
134.000000	81.976783
135.000000	75.759494
136.000000	72.482656
137.000000	72.493903
138.000000	72.493993
139.000000	72.492938
140.000000	72.478362
141.000000	75.698879
142.000000	81.902824
143.000000	87.203561
144.000000	91.994303
145.000000	93.935706
146.000000	92.619959
147.000000	92.819330
148.000000	92.875799
149.000000	93.115478
150.000000	91.727578
151.000000	89.241328
152.000000	85.512539
153.000000	84.252342
154.000000	84.448301
155.000000	84.472231
156.000000	84.376656
157.000000	84.126589
158.000000	88.381275
159.000000	91.192411
160.000000	90.139164
161.000000	90.405899
162.000000	90.666223
163.000000	90.562965
164.000000	89.314993
165.000000	90.435240
166.000000	92.992345
167.000000	93.340008
168.000000	93.271712
169.000000	93.586761
170.000000	94.932157
171.000000	92.940281
172.000000	89.926185
173.000000	85.204803
174.000000	79.950958
175.000000	73.892609
176.000000	67.020503
177.000000	59.602345
178.000000	55.684090
179.000000	55.684090
180.000000	55.684090
181.000000	55.684090
182.000000	55.684090
183.000000	59.580223
184.000000	67.000566
185.000000	73.877844
186.000000	79.927697
187.000000	85.242603
188.000000	90.044288
189.000000	92.893988
190.000000	94.968474
191.000000	94.677585
192.000000	92.674854
193.000000	93.027810
194.000000	93.031038
195.000000	93.001993
196.000000	90.310825
197.000000	88.848888
198.000000	89.962342
